Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap
SBUX,Starbucks Corporation,93.84,2:13PM EDT,+16.81,+21.83%,125.329M,106.339B
CMG,"Chipotle Mexican Grill, Inc.",51.97,2:13PM EDT,-3.90,-6.98%,85.752M,71.172B
NKE,"NIKE, Inc.",78.47,2:13PM EDT,+3.83,+5.13%,15.544M,117.651B
CXAI,CXApp Inc.,3.1250,2:13PM EDT,+1.6550,+112.59%,168.757M,47.709M
HD,"The Home Depot, Inc.",351.61,2:13PM EDT,+5.80,+1.68%,4.446M,348.661B
ONON,On Holding AG,42.48,2:13PM EDT,+2.93,+7.41%,14.451M,13.564B
NET,"Cloudflare, Inc.",81.08,2:12PM EDT,+4.45,+5.81%,"964,813",27.707B
ELWS,"Earlyworks Co., Ltd",4.3300,2:13PM EDT,+2.7300,+172.78%,29.204M,13.057M
SE,Sea Limited,74.77,2:13PM EDT,+7.85,+11.73%,10.616M,42.943B
VSAT,"Viasat, Inc.",16.47,2:13PM EDT,-5.15,-23.82%,8.456M,2.105B
TME,Tencent Music Entertainment Group,11.14,2:13PM EDT,-1.99,-15.19%,31.431M,18.776B
ROKU,"Roku, Inc.",56.42,2:13PM EDT,+2.90,+5.42%,1.584M,8.163B
VEV,Vicinity Motor Corp.,0.1870,2:13PM EDT,+0.0876,+88.13%,300.543M,9.439M
SLF.TO,Sun Life Financial Inc.,69.17,2:13PM EDT,+3.23,+4.90%,1.064M,39.966B
ILMN,"Illumina, Inc.",119.31,2:12PM EDT,-5.24,-4.20%,2.695M,19.005B
CLNE,Clean Energy Fuels Corp.,3.2999,2:13PM EDT,+0.4799,+17.02%,3.301M,737.287M
PFLT,PennantPark Floating Rate Capital Ltd.,10.99,2:13PM EDT,+0.02,+0.23%,1.049M,807.261M
OPEN,Opendoor Technologies Inc.,1.7250,2:12PM EDT,+0.1250,+7.81%,14.953M,1.213B
CRWD,"CrowdStrike Holdings, Inc.",248.43,2:13PM EDT,+9.09,+3.80%,3.28M,60.457B
NYCB,"New York Community Bancorp, Inc.",10.23,2:13PM EDT,+0.82,+8.71%,5.538M,3.595B
CAVA,"CAVA Group, Inc.",94.80,2:13PM EDT,+4.89,+5.44%,1.619M,10.81B
CVNA,Carvana Co.,144.00,2:13PM EDT,+10.52,+7.88%,3.483M,16.84B
OGI,Organigram Holdings Inc.,1.8000,2:13PM EDT,+0.3600,+25.00%,3.03M,186.498M
BAX,Baxter International Inc.,34.38,2:13PM EDT,-2.55,-6.91%,6.789M,17.54B
DAR,Darling Ingredients Inc.,40.81,2:13PM EDT,+5.50,+15.58%,4.642M,6.49B
PYPL,"PayPal Holdings, Inc.",65.18,2:13PM EDT,+1.72,+2.71%,5.102M,66.635B
CORZ,"Core Scientific, Inc.",8.78,2:13PM EDT,-0.69,-7.29%,30.207M,2.267B
APLM,"Apollomics, Inc.",0.1683,2:13PM EDT,+0.0100,+6.32%,150.409M,18.468M
XLG,Invesco S&P 500 Top 50 ETF,44.90,2:13PM EDT,+0.80,+1.80%,8.019M,
CRSR,"Corsair Gaming, Inc.",6.65,2:13PM EDT,+0.56,+9.20%,"355,261",692.571M
